,date,close,open,high,low,ohcl_avg,name
374,2021-09-02,4536.95,4534.48,4545.85,4524.66,4535.485,spx
375,2021-09-01,4524.09,4528.8,4537.11,4522.02,4528.005,spx
376,2021-08-31,4522.68,4529.75,4531.39,4515.8,4524.905,spx
377,2021-08-30,4528.79,4513.76,4537.36,4513.76,4523.4175,spx
378,2021-08-27,4509.37,4474.1,4513.33,4474.1,4492.725,spx
379,2021-08-26,4470.0,4493.75,4495.9,4468.99,4482.16,spx
380,2021-08-25,4496.19,4490.45,4501.71,4485.66,4493.5025,spx
381,2021-08-24,4486.23,4484.4,4492.81,4482.28,4486.429999999999,spx
382,2021-08-23,4479.53,4450.29,4489.88,4450.29,4467.4975,spx
383,2021-08-20,4441.67,4410.56,4444.35,4406.8,4425.845,spx
384,2021-08-19,4405.8,4382.44,4418.61,4367.73,4393.645,spx
385,2021-08-18,4400.27,4440.94,4454.32,4397.59,4423.28,spx
386,2021-08-17,4448.08,4462.12,4462.12,4417.83,4447.5375,spx
387,2021-08-16,4479.71,4461.65,4480.26,4437.66,4464.82,spx
388,2021-08-13,4468.0,4464.84,4468.37,4460.82,4465.5075,spx
389,2021-08-12,4460.83,4446.08,4461.77,4435.96,4451.16,spx
390,2021-08-11,4447.7,4442.18,4449.44,4436.42,4443.935,spx
391,2021-08-10,4436.75,4435.79,4445.21,4430.03,4436.945,spx
392,2021-08-09,4432.35,4437.77,4439.39,4424.74,4433.5625,spx
393,2021-08-06,4436.52,4429.07,4440.82,4429.07,4433.87,spx
394,2021-08-05,4429.1,4408.86,4429.76,4408.86,4419.145,spx
395,2021-08-04,4402.66,4415.95,4416.17,4400.23,4408.7525,spx
396,2021-08-03,4423.15,4392.74,4423.79,4373.0,4403.17,spx
397,2021-08-02,4387.16,4406.86,4422.18,4384.81,4400.2525000000005,spx
398,2021-07-30,4395.26,4395.12,4412.25,4389.65,4398.07,spx
399,2021-07-29,4419.15,4403.59,4429.97,4403.59,4414.075000000001,spx
400,2021-07-28,4400.64,4402.95,4415.47,4387.01,4401.5175,spx
401,2021-07-27,4401.46,4416.38,4416.38,4372.51,4401.682500000001,spx
402,2021-07-26,4422.3,4409.58,4422.73,4405.45,4415.015,spx
403,2021-07-23,4411.79,4381.2,4415.18,4381.2,4397.342500000001,spx
404,2021-07-22,4367.48,4361.27,4369.87,4350.06,4362.17,spx
405,2021-07-21,4358.69,4331.13,4359.7,4331.13,4345.1625,spx
406,2021-07-20,4323.06,4265.11,4336.84,4262.05,4296.765,spx
407,2021-07-19,4258.49,4296.4,4296.4,4233.13,4271.105,spx
408,2021-07-16,4327.16,4367.43,4375.09,4322.53,4348.0525,spx
409,2021-07-15,4360.03,4369.02,4369.02,4340.7,4359.6925,spx
410,2021-07-14,4374.3,4380.11,4393.68,4362.36,4377.6125,spx
411,2021-07-13,4369.21,4381.07,4392.37,4366.92,4377.3925,spx
412,2021-07-12,4384.63,4372.41,4386.68,4364.03,4376.9375,spx
413,2021-07-09,4369.55,4329.38,4371.6,4329.38,4349.9775,spx
414,2021-07-08,4320.82,4321.07,4330.88,4289.37,4315.535,spx
415,2021-07-07,4358.13,4351.01,4361.88,4329.79,4350.2025,spx
416,2021-07-06,4343.54,4356.46,4356.46,4314.37,4342.7075,spx
417,2021-07-02,4352.34,4326.6,4355.43,4326.6,4340.2425,spx
418,2021-07-01,4319.94,4300.73,4320.66,4300.73,4310.514999999999,spx
419,2021-06-30,4297.5,4290.65,4302.43,4287.96,4294.635,spx
420,2021-06-29,4291.8,4293.21,4300.52,4287.04,4293.1425,spx
421,2021-06-28,4290.61,4284.9,4292.14,4274.67,4285.58,spx
422,2021-06-25,4280.7,4274.45,4286.12,4271.16,4278.1075,spx
423,2021-06-24,4266.49,4256.97,4271.28,4256.97,4262.9275,spx
424,2021-06-23,4241.84,4249.27,4256.6,4241.43,4247.285,spx
